,X,Y,Z,fid,overall_tn,begin,end,Track ID,Vessel Type Number,Ship Type_Length,Ship Type_Num,fid_2,Nearest,Hour
0,113.910583410937,22.418856107667,0,1,650,2021/11/14 04:11:42,2021/11/14 05:12:30,10030,,SC,,1,2021-11-14T01:59:30.000,2
1,113.910001594938,22.4186558875851,0,2,57987,2021/11/14 05:29:24,2021/11/14 05:44:30,13035,,SC,,1,2021-11-14T05:44:00.000,6
2,113.911217591297,22.4190743478732,0,3,435748,2021/11/14 01:30:48,2021/11/14 07:35:00,3866,,SC,,1,2021-11-14T23:43:00.000,0
3,113.912193040543,22.4194100287898,0,4,435748,2021/11/14 01:30:48,2021/11/14 07:35:00,3866,,SC,,1,2021-11-14T11:55:30.000,12
4,113.911268204098,22.4190917652341,0,5,429498,2021/11/14 02:34:45,2021/11/14 02:38:00,3536,,SC,,1,2021-11-14T23:43:00.000,0
5,113.91127824249,22.4190952197415,0,6,456278,2021/11/14 00:58:03,2021/11/14 01:00:10,4937,,SC,,1,2021-11-14T23:43:00.000,0
6,113.911806242211,22.4192769200514,0,7,355117,2021/11/14 11:55:06,2021/11/14 11:56:00,28480,,SC,,1,2021-11-14T01:38:00.000,2
7,113.909797297796,22.4185855829001,0,8,139105,2021/11/14 03:17:51,2021/11/14 03:40:00,17263,,SC,,1,2021-11-14T05:39:00.000,6
8,113.911204078703,22.41906969779,0,9,203823,2021/11/14 22:23:48,2021/11/14 23:44:30,20624,,SC,,1,2021-11-14T02:37:00.000,3
9,113.910590046784,22.4188583912581,0,10,435029,2021/11/14 01:48:15,2021/11/14 02:20:15,3827,,SC,,1,2021-11-14T01:59:30.000,2
10,113.911014750091,22.4190045442188,0,11,467438,2021/11/14 03:19:51,2021/11/14 03:53:16,5514,,SC,,1,2021-11-14T02:37:00.000,3
11,113.910661125607,22.4188828515817,0,12,72419,2021/11/14 06:27:45,2021/11/14 06:59:00,13789,,SC,,1,2021-11-14T06:43:00.000,7
0,113.911482073742,22.4191653640997,0,1,331677,2021/11/15 10:49:21,2021/11/15 10:49:30,27251,,SC,,1,2021-11-15T10:00:30.000,10
1,113.911349299969,22.4191196727203,0,2,286426,2021/11/15 03:44:03,2021/11/15 06:05:30,2490,,SC,,1,2021-11-15T02:07:00.000,2
2,113.910548028534,22.4188439315364,0,3,54799,2021/11/15 09:59:36,2021/11/15 10:17:00,12868,,SC,,1,2021-11-15T10:50:00.000,11
3,113.911547961155,22.4191880379059,0,4,54799,2021/11/15 09:59:36,2021/11/15 10:17:00,12868,,SC,,1,2021-11-15T10:00:30.000,10
4,113.910528265027,22.4188371303295,0,5,83220,2021/11/15 10:22:06,2021/11/15 10:51:00,14347,,SC,,1,2021-11-15T10:50:00.000,11
5,113.911166046519,22.4190566097915,0,6,83220,2021/11/15 10:22:06,2021/11/15 10:51:00,14347,,SC,,1,2021-11-15T02:07:00.000,2
6,113.910979924431,22.41899255968,0,7,38389,2021/11/15 01:37:33,2021/11/15 02:30:30,12013,,SC,,1,2021-11-15T10:02:30.000,10
7,113.911531776788,22.4191824683869,0,8,38389,2021/11/15 01:37:33,2021/11/15 02:30:30,12013,,SC,,1,2021-11-15T10:00:30.000,10
8,113.911564568343,22.4191937529302,0,9,38389,2021/11/15 01:37:33,2021/11/15 02:30:30,12013,,SC,,1,2021-11-15T10:00:30.000,10
9,113.910516435673,22.4188330594991,0,10,206312,2021/11/15 07:06:45,2021/11/15 07:42:00,20749,,SC,,1,2021-11-15T10:50:00.000,11
10,113.911161089791,22.419054904035,0,11,206312,2021/11/15 07:06:45,2021/11/15 07:42:00,20749,,SC,,1,2021-11-15T10:02:30.000,10
11,113.911819255697,22.4192813983767,0,12,206312,2021/11/15 07:06:45,2021/11/15 07:42:00,20749,,SC,,1,2021-11-15T10:49:30.000,11
12,113.91010849725,22.4186926758302,0,13,449339,2021/11/15 03:26:06,2021/11/15 04:17:00,458,,SC,,1,2021-11-15T07:34:00.000,8
13,113.91018963759,22.4187205986195,0,14,70522,2021/11/15 05:38:45,2021/11/15 07:58:00,13690,,SC,,1,2021-11-15T07:34:00.000,8
0,113.910623949414,22.4188700581552,0,1,183078,2021/11/16 08:13:27,2021/11/16 08:26:33,1954,,SC,,1,2021-11-16T08:23:12.000,8
1,113.910862167711,22.418952036112,0,2,96062,2021/11/16 01:38:24,2021/11/16 02:27:00,15017,,SC,,1,2021-11-16T08:23:30.000,8
2,113.911575184978,22.4191974064282,0,3,96062,2021/11/16 01:38:24,2021/11/16 02:27:00,15017,,SC,,1,2021-11-16T02:12:00.000,2
3,113.911898261969,22.4193085867699,0,4,96062,2021/11/16 01:38:24,2021/11/16 02:27:00,15017,,SC,,1,2021-11-16T07:21:00.000,7
4,113.911135881398,22.4190462290817,0,5,358921,2021/11/16 06:40:51,2021/11/16 07:34:30,28679,,SC,,1,2021-11-16T06:45:30.000,7
0,113.910722534189,22.4189039840901,0,1,491995,2021/11/17 04:02:48,2021/11/17 04:14:00,6802,,SC,,1,2021-11-17T04:14:00.000,4
1,113.910733116708,22.4189076258477,0,2,491995,2021/11/17 04:02:48,2021/11/17 04:14:00,6802,,SC,,1,2021-11-17T04:14:00.000,4
2,113.911655064407,22.4192248953008,0,3,413764,2021/11/17 06:39:57,2021/11/17 07:21:30,31516,,SC,,1,2021-11-17T06:45:30.000,7
3,113.910316689237,22.4187643208466,0,4,172252,2021/11/17 03:00:15,2021/11/17 06:46:00,18988,,SC,,1,2021-11-17T03:46:00.000,4
4,113.910566289102,22.4188502155373,0,5,247470,2021/11/17 01:38:12,2021/11/17 02:25:00,22883,,SC,,1,2021-11-17T02:12:30.000,2
5,113.911728346849,22.4192501139549,0,6,247470,2021/11/17 01:38:12,2021/11/17 02:25:00,22883,,SC,,1,2021-11-17T01:44:00.000,2
6,113.911805759286,22.4192767538627,0,7,247470,2021/11/17 01:38:12,2021/11/17 02:25:00,22883,,SC,,1,2021-11-17T01:44:00.000,2
7,113.912923356523,22.4196613521046,0,8,91200,2021/11/17 00:26:30,2021/11/17 04:58:30,1477,,SC,,1,2021-11-17T04:58:00.000,5
8,113.909866865553,22.4186095232215,0,9,216297,2021/11/17 19:46:57,2021/11/17 20:10:00,2127,,SC,,1,2021-11-17T20:06:00.000,20
0,113.910234728385,22.4187361156948,0,1,339739,2021/11/18 00:31:51,2021/11/18 02:29:00,27683,,SC,,1,2021-11-18T00:59:00.000,1
1,113.910397444229,22.418792111026,0,2,339739,2021/11/18 00:31:51,2021/11/18 02:29:00,27683,,SC,,1,2021-11-18T02:34:00.000,3
2,113.910640050533,22.418875599026,0,3,339739,2021/11/18 00:31:51,2021/11/18 02:29:00,27683,,SC,,1,2021-11-18T23:24:00.000,23
3,113.911099660617,22.4190337644406,0,4,416079,2021/11/18 06:35:48,2021/11/18 07:26:30,3164,,SC,,1,2021-11-18T06:43:00.000,7
4,113.912950988587,22.4196708611144,0,5,120732,2021/11/18 04:16:54,2021/11/18 04:38:00,16293,,SC,,1,2021-11-18T04:37:30.000,5
5,113.910570466754,22.4188516531909,0,6,200252,2021/11/18 01:38:00,2021/11/18 02:23:00,20436,,SC,,1,2021-11-18T02:33:03.000,3
6,113.911585620055,22.4192009974467,0,7,200252,2021/11/18 01:38:00,2021/11/18 02:23:00,20436,,SC,,1,2021-11-18T03:10:15.000,3
7,113.911943484888,22.4193241493132,0,8,200252,2021/11/18 01:38:00,2021/11/18 02:23:00,20436,,SC,,1,2021-11-18T02:09:30.000,2
8,113.910426749989,22.4188021960043,0,9,336615,2021/11/18 02:33:03,2021/11/18 02:46:30,27511,,SC,,1,2021-11-18T02:34:00.000,3
9,113.910633538008,22.4188733578735,0,10,316229,2021/11/18 22:02:48,2021/11/18 23:27:00,2645,,SC,,1,2021-11-18T23:24:00.000,23
