,X,Y,Z,fid,overall_tn,begin,end,Track ID,Vessel Type Number,Ship Type_Length,Ship Type_Num,fid_2,id,intersects,length,Nearest,Hour
1,113.914105230219,22.4222808046999,0,2,288882,2021/11/15 09:21:39,2021/11/15 09:45:00,25026,,SC,,1,1,,5110.74,2021-11-15T09:41:00.000,10
2,113.913983244517,22.4225560286405,0,3,166843,2021/11/15 08:09:24,2021/11/15 08:10:01,1871,,SC,,1,1,,5110.74,2021-11-15T08:09:24.000,8
3,113.913642907918,22.4233238955147,0,4,323604,2021/11/15 19:32:54,2021/11/15 19:36:30,26829,,SC,,1,1,,5110.74,2021-11-15T19:36:00.000,20
4,113.914047657604,22.4224106999404,0,5,485596,2021/11/15 08:32:57,2021/11/15 08:43:00,6470,70.0,RTV,RTV,1,1,,5110.74,2021-11-15T09:41:30.000,10
5,113.913185328275,22.4243562859521,0,6,374567,2021/11/15 19:09:15,2021/11/15 20:29:15,29489,,SC,,1,1,,5110.74,2021-11-15T19:21:15.000,19
6,113.914166611027,22.4221423174232,0,7,221769,2021/11/15 06:37:33,2021/11/15 07:19:00,21557,70.0,STV,RTV,1,1,,5110.74,2021-11-15T23:29:30.000,23
7,113.914118749352,22.422250302856,0,8,221770,2021/11/15 23:15:30,2021/11/15 23:59:34,21557,70.0,STV,RTV,1,1,,5110.74,2021-11-15T09:41:00.000,10
8,113.913013107634,22.4247448498795,0,9,223810,2021/11/15 23:54:54,2021/11/15 23:55:36,21659,,SC,,1,1,,5110.74,2021-11-15T00:09:03.000,0
9,113.914080608839,22.4223363554173,0,10,347756,2021/11/15 08:39:09,2021/11/15 09:03:00,28097,,SC,,1,1,,5110.74,2021-11-15T09:41:30.000,10
10,113.91300756541,22.4247573542367,0,11,178733,2021/11/15 00:01:03,2021/11/15 01:31:37,19315,,SC,,1,1,,5110.74,2021-11-15T18:10:24.000,18
11,113.913008214545,22.4247558896599,0,12,178733,2021/11/15 00:01:03,2021/11/15 01:31:37,19315,,SC,,1,1,,5110.74,2021-11-15T18:10:24.000,18
12,113.913010134494,22.4247515578735,0,13,178733,2021/11/15 00:01:03,2021/11/15 01:31:37,19315,,SC,,1,1,,5110.74,2021-11-15T00:03:03.000,0
13,113.913010245941,22.4247513064267,0,14,178733,2021/11/15 00:01:03,2021/11/15 01:31:37,19315,,SC,,1,1,,5110.74,2021-11-15T00:03:03.000,0
14,113.913185892563,22.4243550128068,0,15,196769,2021/11/15 18:52:48,2021/11/15 18:53:18,20250,,SC,,1,1,,5110.74,2021-11-15T19:21:15.000,19
15,113.914125203057,22.4222357420173,0,16,247851,2021/11/15 11:33:09,2021/11/15 23:58:48,2290,70.0,STV,RTV,1,1,,5110.74,2021-11-15T23:29:30.000,23
